gene_id	gene_name	gene_type	gene_description	gene_version	seqnames	start	end	width	strand
ENSMUSG00000091450	Vmn2r11	protein_coding	vomeronasal 2, receptor 11	4	chr5	109191226	109207435	16210	-
ENSMUSG00000090688	Vmn2r12	protein_coding	vomeronasal 2, receptor 12	3	chr5	109231690	109245816	14127	-
ENSMUSG00000091635	Vmn2r13	protein_coding	vomeronasal 2, receptor 13	3	chr5	109300806	109340065	39260	-
ENSMUSG00000091059	Vmn2r14	protein_coding	vomeronasal 2, receptor 14	3	chr5	109359400	109372574	13175	-
ENSMUSG00000091375	Vmn2r15	protein_coding	vomeronasal 2, receptor 15	3	chr5	109433536	109445510	11975	-
ENSMUSG00000092080	Vmn2r16	protein_coding	vomeronasal 2, receptor 16	4	chr5	109478028	109518113	40086	+
ENSMUSG00000091879	Vmn2r17	protein_coding	vomeronasal 2, receptor 17	3	chr5	109567554	109606325	38772	+
ENSMUSG00000033467	Crlf2	protein_coding	cytokine receptor-like factor 2	13	chr5	109702575	109706859	4285	-
ENSMUSG00000072763	5430403G16Rik	protein_coding	RIKEN cDNA 5430403G16 gene	3	chr5	109822411	109838907	16497	-
ENSMUSG00000105471	A430073D23Rik	lncRNA	RIKEN cDNA A430073D23 gene	3	chr5	109845524	109944164	98641	-
ENSMUSG00000072762	4930522L14Rik	protein_coding	RIKEN cDNA 4930522L14 gene	10	chr5	109883856	109899752	15897	-
ENSMUSG00000120227	Gm57295	lncRNA	predicted gene, 57295	1	chr5	109983006	109992949	9944	-
ENSMUSG00000121596	ENSMUSG00000121596	protein_coding		1	chr5	110014594	110031560	16967	+
ENSMUSG00000097140	Gm26779	lncRNA	predicted gene, 26779	2	chr5	110034097	110039003	4907	+
ENSMUSG00000090015	Gm15446	protein_coding	predicted gene 15446	10	chr5	110071266	110091802	20537	+
ENSMUSG00000097863	1010001B22Rik	lncRNA	RIKEN cDNA 1010001B22 gene	2	chr5	110143377	110144264	888	-
ENSMUSG00000066613	Zfp932	protein_coding	zinc finger protein 932	15	chr5	110144387	110158277	13891	+
ENSMUSG00000090963	Gm17655	protein_coding	predicted gene, 17655	3	chr5	110194005	110220379	26375	-
ENSMUSG00000109771	Gm35315	protein_coding	predicted gene, 35315	3	chr5	110224002	110242328	18327	-
ENSMUSG00000064247	Plcxd1	protein_coding	phosphatidylinositol-specific phospholipase C, X domain containing 1	15	chr5	110247835	110253819	5985	+
ENSMUSG00000033434	Gtpbp6	protein_coding	GTP binding protein 6 (putative)	16	chr5	110251841	110256063	4223	-
ENSMUSG00000023284	Zfp605	protein_coding	zinc finger protein 605	16	chr5	110257958	110277660	19703	+
ENSMUSG00000014668	Chfr	protein_coding	checkpoint with forkhead and ring finger domains	16	chr5	110283708	110319838	36131	+
ENSMUSG00000105541	Gm43136	lncRNA	predicted gene 43136	2	chr5	110301353	110301988	636	-
ENSMUSG00000086247	Gm15787	lncRNA	predicted gene 15787	9	chr5	110302266	110324370	22105	-
ENSMUSG00000029502	Golga3	protein_coding	golgi autoantigen, golgin subfamily a, 3	15	chr5	110324567	110374336	49770	+
ENSMUSG00000104720	Gm43138	lncRNA	predicted gene 43138	2	chr5	110354446	110355153	708	+
ENSMUSG00000104970	5930411N13Rik	lncRNA	RIKEN cDNA 5930411N13 gene	2	chr5	110378474	110379067	594	-
ENSMUSG00000029501	Ankle2	protein_coding	ankyrin repeat and LEM domain containing 2	15	chr5	110378870	110404517	25648	+
ENSMUSG00000029500	Pgam5	protein_coding	phosphoglycerate mutase family member 5	17	chr5	110406996	110417779	10784	-
ENSMUSG00000087439	Gm15788	lncRNA	predicted gene 15788	2	chr5	110410027	110425133	15107	+
ENSMUSG00000029499	Pxmp2	protein_coding	peroxisomal membrane protein 2	12	chr5	110422148	110434052	11905	-
ENSMUSG00000007080	Pole	protein_coding	polymerase (DNA directed), epsilon	15	chr5	110434172	110485340	51169	+
ENSMUSG00000085606	Gm15792	lncRNA	predicted gene 15792	2	chr5	110479072	110481069	1998	-
ENSMUSG00000029503	P2rx2	protein_coding	purinergic receptor P2X, ligand-gated ion channel, 2	17	chr5	110487678	110491078	3401	-
ENSMUSG00000072754	Lrcol1	protein_coding	leucine rich colipase-like 1	10	chr5	110492596	110503960	11365	+
ENSMUSG00000043323	Fbrsl1	protein_coding	fibrosin-like 1	18	chr5	110509620	110596468	86849	-
ENSMUSG00000105482	Gm42596	lncRNA	predicted gene 42596	2	chr5	110595855	110597812	1958	+
ENSMUSG00000048215	A630023P12Rik	lncRNA	RIKEN cDNA A630023P12 gene	16	chr5	110662729	110673846	11118	+
ENSMUSG00000033316	Galnt9	protein_coding	polypeptide N-acetylgalactosaminyltransferase 9	15	chr5	110692221	110769246	77026	+
ENSMUSG00000033294	Noc4l	protein_coding	NOC4 like	12	chr5	110796284	110801283	5000	-
ENSMUSG00000029504	Ddx51	protein_coding	DEAD box helicase 51	6	chr5	110801317	110808362	7046	+
ENSMUSG00000105161	Gm42595	lncRNA	predicted gene 42595	2	chr5	110809258	110810864	1607	+
ENSMUSG00000029505	Ep400	protein_coding	E1A binding protein p400	18	chr5	110812239	110918583	106345	-
ENSMUSG00000086401	Gm15559	lncRNA	predicted gene 15559	2	chr5	110918815	110927126	8312	+
ENSMUSG00000029507	Pus1	protein_coding	pseudouridine synthase 1	17	chr5	110921533	110928525	6993	-
ENSMUSG00000029512	Ulk1	protein_coding	unc-51 like kinase 1	12	chr5	110932354	110957963	25610	-
ENSMUSG00000043510	Hscb	protein_coding	HscB iron-sulfur cluster co-chaperone	13	chr5	110976936	110987643	10708	-
ENSMUSG00000029521	Chek2	protein_coding	checkpoint kinase 2	8	chr5	110987845	111022011	34167	+
ENSMUSG00000033209	Ttc28	protein_coding	tetratricopeptide repeat domain 28	18	chr5	111027669	111437646	409978	+
ENSMUSG00000050017	Pitpnb	protein_coding	phosphatidylinositol transfer protein, beta	12	chr5	111478629	111536225	57597	+
ENSMUSG00000104559	Gm43118	lncRNA	predicted gene 43118	2	chr5	111535381	111536155	775	-
ENSMUSG00000120465	Gm57262	lncRNA	predicted gene, 57262	1	chr5	111563786	111565020	1235	-
ENSMUSG00000070576	Mn1	protein_coding	meningioma 1	5	chr5	111565228	111604899	39672	+
ENSMUSG00000120047	Gm36149	lncRNA	predicted gene, 36149	1	chr5	111638797	111640250	1454	+
ENSMUSG00000052848	C130026L21Rik	lncRNA	RIKEN cDNA C130026L21 gene	8	chr5	111729288	111752798	23511	+
ENSMUSG00000104833	Gm42489	lncRNA	predicted gene 42489	2	chr5	111741482	111742150	669	+
ENSMUSG00000085271	E130006D01Rik	lncRNA	RIKEN cDNA E130006D01 gene	9	chr5	111881540	111909638	28099	-
ENSMUSG00000096949	Gm26897	protein_coding	predicted gene, 26897	2	chr5	111881790	111882440	651	+
ENSMUSG00000085919	Gm16019	lncRNA	predicted gene 16019	2	chr5	111890715	111896042	5328	+
ENSMUSG00000105376	Gm36535	lncRNA	predicted gene, 36535	6	chr5	111939421	111957779	18359	+
ENSMUSG00000106060	Gm42488	lncRNA	predicted gene 42488	2	chr5	112087670	112092101	4432	-
ENSMUSG00000104538	1700016B01Rik	lncRNA	RIKEN cDNA 1700016B01 gene	2	chr5	112304103	112313110	9008	+
ENSMUSG00000101683	1700028D13Rik	lncRNA	RIKEN cDNA 1700028D13 gene	7	chr5	112354629	112357870	3242	+
ENSMUSG00000097767	Miat	lncRNA	myocardial infarction associated transcript (non-protein coding)	10	chr5	112361094	112377261	16168	-
ENSMUSG00000097986	Gm26953	lncRNA	predicted gene, 26953	3	chr5	112363327	112381586	18260	+
ENSMUSG00000066975	Cryba4	protein_coding	crystallin, beta A4	13	chr5	112394359	112400384	6026	-
ENSMUSG00000029343	Crybb1	protein_coding	crystallin, beta B1	18	chr5	112403681	112417451	13771	+
ENSMUSG00000029344	Tpst2	protein_coding	protein-tyrosine sulfotransferase 2	16	chr5	112424557	112463227	38671	+
ENSMUSG00000029345	Tfip11	protein_coding	tuftelin interacting protein 11	14	chr5	112474224	112485939	11716	+
ENSMUSG00000029346	Srrd	protein_coding	SRR1 domain containing	13	chr5	112485258	112490906	5649	-
ENSMUSG00000042328	Hps4	protein_coding	HPS4, biogenesis of lysosomal organelles complex 3 subunit 2	14	chr5	112490949	112526280	35332	+
ENSMUSG00000051503	Ccdc121rt3	protein_coding	coiled-coil domain containing 121, retrogene 3	3	chr5	112501667	112503899	2233	-
ENSMUSG00000093637	Gm20636	lncRNA	predicted gene 20636	2	chr5	112522235	112525505	3271	-
ENSMUSG00000029348	Asphd2	protein_coding	aspartate beta-hydroxylase domain containing 2	12	chr5	112532220	112542732	10513	-
ENSMUSG00000058153	Sez6l	protein_coding	seizure related 6 homolog like	16	chr5	112567017	112725051	158035	-
ENSMUSG00000072722	Ccdc121rt2	protein_coding	coiled-coil domain containing 121, retrogene 2	3	chr5	112597292	112599604	2313	+
ENSMUSG00000098027	Gm27004	lncRNA	predicted gene, 27004	2	chr5	112730511	112731237	727	+
ENSMUSG00000097962	1700034G24Rik	lncRNA	RIKEN cDNA 1700034G24 gene	8	chr5	112730802	112737862	7061	-
ENSMUSG00000105152	Gm42864	lncRNA	predicted gene 42864	2	chr5	112797233	112799978	2746	+
ENSMUSG00000104807	Gm42865	lncRNA	predicted gene 42865	2	chr5	112823241	112828453	5213	+
ENSMUSG00000072720	Myo18b	protein_coding	myosin XVIIIb	10	chr5	112836742	113044228	207487	-
ENSMUSG00000098230	1700095B10Rik	lncRNA	RIKEN cDNA 1700095B10 gene	8	chr5	112941158	112949567	8410	+
ENSMUSG00000042249	Grk3	protein_coding	G protein-coupled receptor kinase 3	12	chr5	113058348	113163657	105310	-
ENSMUSG00000042240	Crybb2	protein_coding	crystallin, beta B2	15	chr5	113206124	113217983	11860	-
ENSMUSG00000029352	Crybb3	protein_coding	crystallin, beta B3	15	chr5	113223705	113229450	5746	-
ENSMUSG00000051339	2900026A02Rik	protein_coding	RIKEN cDNA 2900026A02 gene	11	chr5	113234189	113369102	134914	-
ENSMUSG00000106659	Gm42161	lncRNA	predicted gene, 42161	2	chr5	113293194	113302234	9041	+
ENSMUSG00000066964	Tmem211	protein_coding	transmembrane protein 211	3	chr5	113374775	113387129	12355	+
ENSMUSG00000042216	Sgsm1	protein_coding	small G protein signaling modulator 1	14	chr5	113391086	113458652	67567	-
ENSMUSG00000104705	4930405N21Rik	lncRNA	RIKEN cDNA 4930405N21 gene	3	chr5	113468314	113487938	19625	-
ENSMUSG00000105174	Gm43353	lncRNA	predicted gene 43353	3	chr5	113471804	113473346	1543	+
ENSMUSG00000053873	Aym1	lncRNA	activator of yeast meiotic promoters 1	2	chr5	113505160	113505687	528	+
ENSMUSG00000063430	Wscd2	protein_coding	WSC domain containing 2	10	chr5	113638199	113727786	89588	+
ENSMUSG00000120761	Gm57314	lncRNA	predicted gene, 57314	1	chr5	113711246	113734534	23289	-
ENSMUSG00000042190	Cmklr1	protein_coding	chemerin chemokine-like receptor 1	13	chr5	113750415	113788487	38073	-
ENSMUSG00000085713	Gm15736	lncRNA	predicted gene 15736	2	chr5	113783024	113783743	720	+
ENSMUSG00000042184	1700069L16Rik	lncRNA	RIKEN cDNA 1700069L16 gene	12	chr5	113830483	113862833	32351	-
ENSMUSG00000053334	Ficd	protein_coding	FIC domain containing	7	chr5	113873864	113878661	4798	+
ENSMUSG00000018974	Sart3	protein_coding	squamous cell carcinoma antigen recognized by T cells 3	8	chr5	113880507	113910571	30065	-
ENSMUSG00000025825	Iscu	protein_coding	iron-sulfur cluster assembly enzyme	13	chr5	113910809	113916349	5541	+
ENSMUSG00000054675	Tmem119	protein_coding	transmembrane protein 119	6	chr5	113931790	113938577	6788	-
ENSMUSG00000048163	Selplg	protein_coding	selectin, platelet (p-selectin) ligand	14	chr5	113956597	113970705	14109	-
ENSMUSG00000004530	Coro1c	protein_coding	coronin, actin binding protein 1C	13	chr5	113980497	114046819	66323	-
ENSMUSG00000090458	Gm17122	lncRNA	predicted gene 17122	2	chr5	113980662	113981177	516	+
ENSMUSG00000105664	Gm42797	lncRNA	predicted gene 42797	2	chr5	114066616	114068195	1580	-
ENSMUSG00000042121	Ssh1	protein_coding	slingshot protein phosphatase 1	17	chr5	114075155	114131955	56801	-
ENSMUSG00000042096	Dao	protein_coding	D-amino acid oxidase	16	chr5	114141764	114163743	21980	+
ENSMUSG00000042078	Svop	protein_coding	SV2 related protein	15	chr5	114164971	114229631	64661	-
ENSMUSG00000029592	Usp30	protein_coding	ubiquitin specific peptidase 30	12	chr5	114203522	114262781	59260	+
ENSMUSG00000044339	Alkbh2	protein_coding	alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase	13	chr5	114261987	114266279	4293	-
ENSMUSG00000029591	Ung	protein_coding	uracil DNA glycosylase	15	chr5	114268447	114277384	8938	+
ENSMUSG00000042010	Acacb	protein_coding	acetyl-Coenzyme A carboxylase beta	17	chr5	114284596	114388822	104227	+
ENSMUSG00000042002	Foxn4	protein_coding	forkhead box N4	12	chr5	114392225	114411868	19644	-
ENSMUSG00000066952	Myo1h	protein_coding	myosin 1H	12	chr5	114427227	114503418	76192	+
ENSMUSG00000001098	Kctd10	protein_coding	potassium channel tetramerisation domain containing 10	16	chr5	114501628	114518569	16942	-
ENSMUSG00000029577	Ube3b	protein_coding	ubiquitin protein ligase E3B	14	chr5	114518668	114559230	40563	+
ENSMUSG00000029575	Mmab	protein_coding	methylmalonic aciduria (cobalamin deficiency) cblB type homolog (human)	18	chr5	114569095	114582121	13027	-
ENSMUSG00000041939	Mvk	protein_coding	mevalonate kinase	15	chr5	114582330	114598652	16323	+
ENSMUSG00000086302	Gm13790	lncRNA	predicted gene 13790	2	chr5	114689350	114692077	2728	+
ENSMUSG00000041930	Fam222a	protein_coding	family with sequence similarity 222, member A	8	chr5	114706077	114751281	45205	+
ENSMUSG00000014158	Trpv4	protein_coding	transient receptor potential cation channel, subfamily V, member 4	13	chr5	114760213	114796482	36270	-
ENSMUSG00000011884	Gltp	protein_coding	glycolipid transfer protein	14	chr5	114807459	114829045	21587	-
ENSMUSG00000002486	Tchp	protein_coding	trichoplein, keratin filament binding	16	chr5	114845821	114860388	14568	+
ENSMUSG00000107340	Gm42789	lncRNA	predicted gene 42789	2	chr5	114853615	114854181	567	-
ENSMUSG00000041890	Git2	protein_coding	GIT ArfGAP 2	18	chr5	114865468	114913578	48111	-
ENSMUSG00000092183	4930515G01Rik	lncRNA	RIKEN cDNA 4930515G01 gene	2	chr5	114911798	114913044	1247	-
ENSMUSG00000041870	Ankrd13a	protein_coding	ankyrin repeat domain 13a	18	chr5	114912738	114944261	31524	+
ENSMUSG00000072694	1500011B03Rik	protein_coding	RIKEN cDNA 1500011B03 gene	9	chr5	114946257	114961529	15273	-
ENSMUSG00000029564	4930519G04Rik	protein_coding	RIKEN cDNA 4930519G04 gene	13	chr5	114991725	115021941	30217	+
ENSMUSG00000107108	Gm9936	lncRNA	predicted gene 9936	4	chr5	114993086	114997499	4414	-
ENSMUSG00000029561	Oasl2	protein_coding	2'-5' oligoadenylate synthetase-like 2	18	chr5	115034997	115050295	15299	+
ENSMUSG00000087477	Gm13822	lncRNA	predicted gene 13822	3	chr5	115055374	115061336	5963	-
ENSMUSG00000041827	Oasl1	protein_coding	2'-5' oligoadenylate synthetase-like 1	16	chr5	115061299	115075974	14676	+
ENSMUSG00000029559	2210016L21Rik	protein_coding	RIKEN cDNA 2210016L21 gene	16	chr5	115080217	115087842	7626	+
ENSMUSG00000029556	Hnf1a	protein_coding	HNF1 homeobox A	13	chr5	115087039	115109153	22115	-
ENSMUSG00000086054	Hnf1aos1	lncRNA	HNF1 homeobox A, opposite strand 1	4	chr5	115106843	115136105	29263	+
ENSMUSG00000086140	Hnf1aos2	lncRNA	HNF1 homeobox A, opposite strand 2	2	chr5	115106882	115109459	2578	+
ENSMUSG00000029550	Sppl3	protein_coding	signal peptide peptidase 3	12	chr5	115149196	115236849	87654	+
ENSMUSG00000029545	Acads	protein_coding	acyl-Coenzyme A dehydrogenase, short chain	14	chr5	115248358	115257405	9048	-
ENSMUSG00000046562	Unc119b	protein_coding	unc-119 lipid binding chaperone B	6	chr5	115260609	115273034	12426	-
ENSMUSG00000048578	Mlec	protein_coding	malectin	12	chr5	115281040	115296238	15199	-
ENSMUSG00000029544	Cabp1	protein_coding	calcium binding protein 1	17	chr5	115306748	115332440	25693	-
ENSMUSG00000120554	Gm57268	lncRNA	predicted gene, 57268	1	chr5	115342051	115343312	1262	+
ENSMUSG00000060152	Pop5	protein_coding	processing of precursor 5, ribonuclease P/MRP family (S. cerevisiae)	15	chr5	115373895	115383410	9516	+
ENSMUSG00000041740	Rnf10	protein_coding	ring finger protein 10	17	chr5	115379471	115410957	31487	-
ENSMUSG00000041733	Coq5	protein_coding	coenzyme Q5 methyltransferase	11	chr5	115417725	115435031	17307	+
ENSMUSG00000009013	Dynll1	protein_coding	dynein light chain LC8-type 1	6	chr5	115435169	115439058	3890	-
ENSMUSG00000086368	Gm13830	lncRNA	predicted gene 13830	4	chr5	115439158	115457267	18110	+
ENSMUSG00000121115	Gm57320	lncRNA	predicted gene, 57320	1	chr5	115463000	115465115	2116	-
ENSMUSG00000029538	Srsf9	protein_coding	serine and arginine-rich splicing factor 9	15	chr5	115465236	115471139	5904	+
ENSMUSG00000029536	Gatc	protein_coding	glutamyl-tRNA(Gln) amidotransferase, subunit C	9	chr5	115471298	115479237	7940	-
ENSMUSG00000029535	Triap1	protein_coding	TP53 regulated inhibitor of apoptosis 1	5	chr5	115479284	115481628	2345	+
ENSMUSG00000041697	Cox6a1	protein_coding	cytochrome c oxidase subunit 6A1	10	chr5	115483701	115487040	3340	-
ENSMUSG00000107288	A430102K17Rik	lncRNA	RIKEN cDNA A430102K17 gene	2	chr5	115487189	115491214	4026	+
ENSMUSG00000086352	4930401G09Rik	lncRNA	RIKEN cDNA 4930401G09 gene	2	chr5	115496759	115498182	1424	-
ENSMUSG00000087292	Gm13832	lncRNA	predicted gene 13832	2	chr5	115497137	115560922	63786	+
ENSMUSG00000054256	Msi1	protein_coding	musashi RNA-binding protein 1	12	chr5	115567658	115593757	26100	+
ENSMUSG00000107353	4930430O22Rik	lncRNA	RIKEN cDNA 4930430O22 gene	2	chr5	115574125	115574703	579	-
ENSMUSG00000029522	Pla2g1b	protein_coding	phospholipase A2, group IB, pancreas	13	chr5	115604321	115612781	8461	+
ENSMUSG00000029524	Sirt4	protein_coding	sirtuin 4	17	chr5	115616069	115622784	6716	-
ENSMUSG00000120846	Gm57298	lncRNA	predicted gene, 57298	1	chr5	115622552	115623722	1171	+
ENSMUSG00000121040	Gm57305	lncRNA	predicted gene, 57305	1	chr5	115627692	115628068	377	-
ENSMUSG00000029528	Pxn	protein_coding	paxillin	20	chr5	115644735	115694046	49312	+
ENSMUSG00000086849	Gm13840	lncRNA	predicted gene 13840	2	chr5	115653322	115654006	685	+
ENSMUSG00000067274	Rplp0	protein_coding	ribosomal protein, large, P0	11	chr5	115697526	115701786	4261	+
ENSMUSG00000041638	Gcn1	protein_coding	GCN1 activator of EIF2AK4	19	chr5	115703313	115760713	57401	+
ENSMUSG00000107121	1110006O24Rik	lncRNA	RIKEN cDNA 1110006O24 gene	3	chr5	115769103	115769877	775	-
ENSMUSG00000029518	Rab35	protein_coding	RAB35, member RAS oncogene family	16	chr5	115769967	115785795	15829	+
ENSMUSG00000041609	Bicdl1	protein_coding	BICD family like cargo adaptor 1	17	chr5	115786234	115869680	83447	-
ENSMUSG00000029516	Cit	protein_coding	citron	20	chr5	115983337	116147006	163670	+
ENSMUSG00000120953	Gm36185	lncRNA	predicted gene, 36185	1	chr5	116056690	116060230	3541	-
ENSMUSG00000085376	Gm14508	lncRNA	predicted gene 14508	2	chr5	116147375	116154164	6790	+
ENSMUSG00000029513	Prkab1	protein_coding	protein kinase, AMP-activated, beta 1 non-catalytic subunit	15	chr5	116151645	116162567	10923	-
ENSMUSG00000084992	Gm13842	lncRNA	predicted gene 13842	2	chr5	116164470	116167289	2820	-
ENSMUSG00000079278	Tmem233	protein_coding	transmembrane protein 233	4	chr5	116176814	116221303	44490	-
ENSMUSG00000086655	C330018A13Rik	lncRNA	RIKEN cDNA C330018A13 gene	3	chr5	116261653	116267169	5517	+
ENSMUSG00000043913	Ccdc60	protein_coding	coiled-coil domain containing 60	15	chr5	116262700	116427044	164345	-
ENSMUSG00000086122	Gm14507	lncRNA	predicted gene 14507	2	chr5	116381765	116393012	11248	+
ENSMUSG00000086055	Gm13837	lncRNA	predicted gene 13837	2	chr5	116395720	116396703	984	+
ENSMUSG00000087124	Gm13839	lncRNA	predicted gene 13839	2	chr5	116439359	116441573	2215	+
ENSMUSG00000084921	Gm13838	lncRNA	predicted gene 13838	2	chr5	116443741	116447419	3679	-
ENSMUSG00000086715	B230112J18Rik	lncRNA	RIKEN cDNA B230112J18 gene	2	chr5	116450419	116456340	5922	+
ENSMUSG00000086945	4930562A09Rik	lncRNA	RIKEN cDNA 4930562A09 gene	2	chr5	116528737	116530859	2123	-
ENSMUSG00000041548	Hspb8	protein_coding	heat shock protein 8	5	chr5	116546550	116560923	14374	-
ENSMUSG00000086219	Srrm4os	lncRNA	serine/arginine repetitive matrix 4, opposite strand	9	chr5	116576771	116603546	26776	+
ENSMUSG00000063919	Srrm4	protein_coding	serine/arginine repetitive matrix 4	12	chr5	116577334	116729876	152543	-
ENSMUSG00000106914	Gm42854	lncRNA	predicted gene 42854	2	chr5	116710586	116711554	969	-
ENSMUSG00000106909	Gm43122	lncRNA	predicted gene 43122	2	chr5	116780795	116968613	187819	-
ENSMUSG00000107237	Gm29926	lncRNA	predicted gene, 29926	2	chr5	116949290	116951887	2598	+
ENSMUSG00000066900	Suds3	protein_coding	suppressor of defective silencing 3 homolog (S. cerevisiae)	12	chr5	117229745	117254178	24434	-
ENSMUSG00000086047	9530046B11Rik	lncRNA	RIKEN cDNA 9530046B11 gene	2	chr5	117253283	117256788	3506	+
ENSMUSG00000120368	Gm57263	lncRNA	predicted gene, 57263	1	chr5	117257358	117257994	637	-
ENSMUSG00000061288	Taok3	protein_coding	TAO kinase 3	14	chr5	117258194	117413284	155091	+
ENSMUSG00000032959	Pebp1	protein_coding	phosphatidylethanolamine binding protein 1	13	chr5	117420719	117425690	4972	-
ENSMUSG00000097163	BC051077	lncRNA	cDNA sequence BC051077	3	chr5	117450583	117453710	3128	-
ENSMUSG00000072688	Gm10399	lncRNA	predicted gene 10399	3	chr5	117456562	117457309	748	-
ENSMUSG00000066894	Vsig10	protein_coding	V-set and immunoglobulin domain containing 10	15	chr5	117457148	117493070	35923	+
ENSMUSG00000029364	Wsb2	protein_coding	WD repeat and SOCS box-containing 2	16	chr5	117495369	117516666	21298	+
ENSMUSG00000029363	Rfc5	protein_coding	replication factor C (activator 1) 5	15	chr5	117516168	117527112	10945	-
ENSMUSG00000086075	Gm15728	lncRNA	predicted gene 15728	3	chr5	117527198	117531563	4366	+
ENSMUSG00000120827	Gm52829	lncRNA	predicted gene, 52829	1	chr5	117535581	117551296	15716	+
ENSMUSG00000061578	Ksr2	protein_coding	kinase suppressor of ras 2	10	chr5	117552036	117913068	361033	+
ENSMUSG00000029361	Nos1	protein_coding	nitric oxide synthase 1, neuronal	19	chr5	117919097	118096905	177809	+
ENSMUSG00000098072	Gm26995	lncRNA	predicted gene, 26995	2	chr5	118073790	118077583	3794	-
ENSMUSG00000032898	Fbxo21	protein_coding	F-box protein 21	10	chr5	118114795	118148266	33472	+
ENSMUSG00000029359	Tesc	protein_coding	tescalcin	14	chr5	118165808	118199943	34136	+
ENSMUSG00000032867	Fbxw8	protein_coding	F-box and WD-40 domain protein 8	9	chr5	118203030	118293529	90500	-
ENSMUSG00000029360	Gm9754	lncRNA	predicted gene 9754	4	chr5	118203425	118207775	4351	+
ENSMUSG00000046607	Hrk	protein_coding	harakiri, BCL2 interacting protein (contains only BH3 domain)	7	chr5	118302713	118327543	24831	+
ENSMUSG00000032850	Rnft2	protein_coding	ring finger protein, transmembrane 2	17	chr5	118328801	118383181	54381	-
ENSMUSG00000032840	Spring1	protein_coding	SREBF pathway regulator in golgi 1	8	chr5	118383292	118404158	20867	+
ENSMUSG00000106812	Gm28563	lncRNA	predicted gene 28563	2	chr5	118534871	118535395	525	-
ENSMUSG00000120779	Gm57293	lncRNA	predicted gene, 57293	1	chr5	118651650	118652156	507	-
ENSMUSG00000018076	Med13l	protein_coding	mediator complex subunit 13-like	13	chr5	118698744	118903503	204760	+
ENSMUSG00000106708	Gm43782	lncRNA	predicted gene 43782	2	chr5	119013876	119015530	1655	-
ENSMUSG00000106745	Gm43342	lncRNA	predicted gene 43342	2	chr5	119066188	119074027	7840	+
ENSMUSG00000107144	4930413E15Rik	lncRNA	RIKEN cDNA 4930413E15 gene	2	chr5	119090404	119099326	8923	+
ENSMUSG00000100573	1700081H04Rik	lncRNA	RIKEN cDNA 1700081H04 gene	2	chr5	119246299	119252608	6310	+
ENSMUSG00000107334	Gm7538	lncRNA	predicted gene 7538	2	chr5	119332549	119338083	5535	-
ENSMUSG00000120005	Gm57254	lncRNA	predicted gene, 57254	1	chr5	119460032	119460820	789	+
ENSMUSG00000106938	Gm31314	lncRNA	predicted gene, 31314	2	chr5	119656860	119666019	9160	-
ENSMUSG00000087516	Tbx3os1	lncRNA	T-box 3, opposite strand 1	9	chr5	119708195	119809573	101379	-
ENSMUSG00000085708	Gm16063	lncRNA	predicted gene 16063	2	chr5	119764007	119772529	8523	+
ENSMUSG00000085345	Gm16064	lncRNA	predicted gene 16064	2	chr5	119784199	119797327	13129	+
ENSMUSG00000120646	Gm57296	lncRNA	predicted gene, 57296	1	chr5	119808170	119808923	754	-
ENSMUSG00000018604	Tbx3	protein_coding	T-box 3	19	chr5	119808734	119822789	14056	+
ENSMUSG00000086847	Tbx3os2	lncRNA	T-box 3, opposite strand 2	3	chr5	119823160	119829303	6144	-
ENSMUSG00000120759	Gm57290	lncRNA	predicted gene, 57290	1	chr5	119934584	119936260	1677	+
ENSMUSG00000107053	1700021F13Rik	lncRNA	RIKEN cDNA 1700021F13 gene	3	chr5	119943392	119945934	2543	-
ENSMUSG00000106795	Gm43050	lncRNA	predicted gene 43050	5	chr5	119964187	119970100	5914	-
ENSMUSG00000018263	Tbx5	protein_coding	T-box 5	12	chr5	119970733	120023284	52552	+
ENSMUSG00000107084	Gm43269	lncRNA	predicted gene 43269	2	chr5	120053003	120054911	1909	+
ENSMUSG00000107063	Gm38554	lncRNA	predicted gene, 38554	2	chr5	120097308	120101445	4138	+
ENSMUSG00000029594	Rbm19	protein_coding	RNA binding motif protein 19	13	chr5	120254530	120337046	82517	+
ENSMUSG00000097368	Gm10390	lncRNA	predicted gene 10390	3	chr5	120259161	120277328	18168	-
ENSMUSG00000107141	Gm42654	lncRNA	predicted gene 42654	2	chr5	120477565	120484033	6469	-
ENSMUSG00000098649	Gm27199	lncRNA	predicted gene 27199	4	chr5	120557719	120569832	12114	-
ENSMUSG00000029595	Lhx5	protein_coding	LIM homeobox protein 5	10	chr5	120569764	120579288	9525	+
ENSMUSG00000121101	Gm57311	lncRNA	predicted gene, 57311	1	chr5	120579364	120579524	161	+
ENSMUSG00000029596	Sdsl	protein_coding	serine dehydratase-like	14	chr5	120596251	120610875	14625	-
ENSMUSG00000029597	Sds	protein_coding	serine dehydratase	15	chr5	120614591	120621997	7407	+
ENSMUSG00000086165	Gm15690	lncRNA	predicted gene 15690	2	chr5	120617907	120618968	1062	-
ENSMUSG00000029598	Plbd2	protein_coding	phospholipase B domain containing 2	13	chr5	120621347	120641690	20344	-
ENSMUSG00000032754	Slc8b1	protein_coding	solute carrier family 8 (sodium/lithium/calcium exchanger), member B1	15	chr5	120649233	120672089	22857	+
